┄┄┄┄┄system┄┄┄┄┬┄┄┄┄┄┄memory┄usage┄┄┄┄┄┬┄┄total┄cpu┄usage┄┄┬┄┄net/ib0┄┄ net/ens786f ┄┄┄net/lo┄┄ ┄net/total┄
      time     │ used  free  cach  avai│usr sys idl wai stl│ recv  send  recv  send  recv  send  recv  send
Jun-07 16:14:27│37.0G 52.3G  154G  212G│  0   0 100   0   0│   0     0 ┊   0     0 ┊   0     0 ┊   0     0 
Jun-07 16:16:23│36.9G 52.3G  154G  212G│  1   1  98   0   0│   0     0 ┊  40M  373M┊   0     0 ┊  40M  373M
Jun-07 16:16:24│36.9G 52.3G  154G  212G│  1   0  98   0   0│   0     0 ┊  18M  165M┊   0     0 ┊  18M  165M
Jun-07 16:16:25│36.9G 52.3G  154G  212G│  1   0  98   0   0│   0     0 ┊  19M  178M┊   0     0 ┊  19M  178M
Jun-07 16:16:26│36.9G 52.3G  154G  212G│  1   0  98   0   0│   0     0 ┊  18M  165M┊   0     0 ┊  18M  165M
Jun-07 16:16:27│36.9G 52.3G  154G  212G│  1   1  98   0   0│   0     0 ┊  62M  278M┊  17k   17k┊  62M  278M
Jun-07 16:16:28│36.9G 52.3G  154G  212G│  1   1  98   0   0│   0     0 ┊  33M  314M┊   0     0 ┊  33M  314M
Jun-07 16:16:29│37.0G 52.3G  154G  212G│  2   2  97   0   0│   0     0 ┊  19M  178M┊   0     0 ┊  19M  178M
Jun-07 16:16:30│36.9G 52.3G  154G  212G│  1   1  98   0   0│   0     0 ┊  19M  175M┊   0     0 ┊  19M  175M
Jun-07 16:16:31│36.9G 52.3G  154G  212G│  1   0  98   0   0│   0     0 ┊  19M  176M┊   0     0 ┊  19M  176M
Jun-07 16:16:32│36.9G 52.3G  154G  212G│  1   1  98   0   0│   0     0 ┊  68M  330M┊  17k   17k┊  68M  330M
Jun-07 16:16:33│36.9G 52.3G  154G  212G│  1   1  98   0   0│   0     0 ┊  30M  280M┊   0     0 ┊  30M  280M
Jun-07 16:16:34│36.9G 52.3G  154G  212G│  1   0  98   0   0│   0     0 ┊  19M  184M┊   0     0 ┊  19M  184M
Jun-07 16:16:35│36.9G 52.3G  154G  212G│  1   0  98   0   0│   0     0 ┊  19M  179M┊   0     0 ┊  19M  179M
Jun-07 16:16:36│36.9G 52.3G  154G  212G│  1   0  98   0   0│   0     0 ┊  20M  184M┊   0     0 ┊  20M  184M
Jun-07 16:16:37│36.9G 52.3G  154G  212G│  1   1  98   0   0│   0     0 ┊  74M  381M┊  17k   17k┊  74M  381M
Jun-07 16:16:38│36.9G 52.3G  154G  212G│  1   0  98   0   0│   0     0 ┊  25M  240M┊   0     0 ┊  25M  240M
Jun-07 16:16:39│36.9G 52.3G  154G  212G│  1   0  98   0   0│   0     0 ┊  19M  179M┊   0     0 ┊  19M  179M
Jun-07 16:16:40│36.9G 52.3G  154G  212G│  1   0  98   0   0│   0     0 ┊  20M  190M┊   0     0 ┊  20M  190M
