┄┄┄┄┄system┄┄┄┄┬┄┄┄┄┄┄memory┄usage┄┄┄┄┄┬┄┄total┄cpu┄usage┄┄┬┄┄net/ib0┄┄ ┄┄┄net/lo┄┄ ┄net/total┄
      time     │ used  free  cach  avai│usr sys idl wai stl│ recv  send  recv  send  recv  send
Jul-08 11:29:56│36.2G 42.4G  170G  213G│  2   0  98   0   0│ 496M 5071M┊   0     0 ┊ 496M 5071M
Jul-08 11:29:57│36.2G 42.4G  170G  213G│  2   1  97   0   0│4858M 7204M┊3512b 3512b┊4858M 7204M
Jul-08 11:29:58│36.2G 42.4G  170G  213G│  1   1  97   0   0│3857M   16G┊2224b 2224b┊3857M   16G
Jul-08 11:29:59│36.2G 42.4G  170G  213G│  1   2  97   0   0│1894M   19G┊   0     0 ┊1894M   19G
Jul-08 11:30:00│36.2G 42.4G  170G  213G│  1   1  97   0   0│1972M   19G┊   0     0 ┊1972M   19G
Jul-08 11:30:01│36.2G 42.4G  170G  213G│  1   1  97   0   0│1853M   18G┊2240b 2240b┊1853M   18G
Jul-08 11:30:02│36.2G 42.4G  170G  213G│  2   1  97   0   0│ 496M 5175M┊   0     0 ┊ 496M 5175M
Jul-08 11:30:03│36.2G 42.4G  170G  213G│  2   1  98   0   0│ 566M 5176M┊   0     0 ┊ 566M 5176M
Jul-08 11:30:04│36.2G 42.4G  170G  213G│  2   1  97   0   0│ 496M 5175M┊   0     0 ┊ 496M 5175M
Jul-08 11:30:05│36.2G 42.4G  170G  213G│  2   1  98   0   0│ 566M 5176M┊   0     0 ┊ 566M 5176M
Jul-08 11:30:06│36.2G 42.4G  170G  213G│  2   1  98   0   0│ 496M 5149M┊   0     0 ┊ 496M 5149M
Jul-08 11:30:07│36.2G 42.4G  170G  213G│  2   1  98   0   0│ 566M 5202M┊   0     0 ┊ 566M 5204M
Jul-08 11:30:08│36.2G 42.4G  170G  213G│  2   1  98   0   0│ 496M 5106M┊   0     0 ┊ 496M 5106M
Jul-08 11:30:09│36.2G 42.4G  170G  213G│  2   1  97   0   0│ 566M 5197M┊   0     0 ┊ 566M 5197M
Jul-08 11:30:10│36.2G 42.4G  170G  213G│  2   1  98   0   0│ 496M 5154M┊   0     0 ┊ 496M 5154M
Jul-08 11:30:11│36.2G 42.4G  170G  213G│  2   0  98   0   0│ 566M 5232M┊   0     0 ┊ 566M 5232M
Jul-08 11:30:12│36.2G 42.4G  170G  213G│  2   0  98   0   0│ 496M 5119M┊   0     0 ┊ 496M 5119M
Jul-08 11:30:13│36.2G 42.4G  170G  213G│  2   0  98   0   0│ 566M 5181M┊   0     0 ┊ 566M 5181M
Jul-08 11:30:14│36.2G 42.4G  170G  213G│  2   1  97   0   0│ 496M 5138M┊   0     0 ┊ 496M 5138M
Jul-08 11:30:15│36.2G 42.4G  170G  213G│  2   1  98   0   0│ 566M 5140M┊2280b 2280b┊ 566M 5140M
